(SCHEMES,"Schemes",1)
(COLON,":",1)
(ID,"snap",2)
(LEFT_PAREN,"(",2)
(ID,"S",2)
(COMMA,",",2)
(ID,"N",2)
(COMMA,",",2)
(ID,"A",2)
(COMMA,",",2)
(ID,"P",2)
(RIGHT_PAREN,")",2)
(ID,"csg",3)
(LEFT_PAREN,"(",3)
(ID,"C",3)
(COMMA,",",3)
(ID,"S",3)
(COMMA,",",3)
(ID,"G",3)
(RIGHT_PAREN,")",3)
(ID,"cp",4)
(LEFT_PAREN,"(",4)
(ID,"C",4)
(COMMA,",",4)
(ID,"Q",4)
(RIGHT_PAREN,")",4)
(ID,"cdh",5)
(LEFT_PAREN,"(",5)
(ID,"C",5)
(COMMA,",",5)
(ID,"D",5)
(COMMA,",",5)
(ID,"H",5)
(RIGHT_PAREN,")",5)
(ID,"cr",6)
(LEFT_PAREN,"(",6)
(ID,"C",6)
(COMMA,",",6)
(ID,"R",6)
(RIGHT_PAREN,")",6)
(ID,"before",7)
(LEFT_PAREN,"(",7)
(ID,"C1",7)
(COMMA,",",7)
(ID,"C2",7)
(RIGHT_PAREN,")",7)
(ID,"tthCourses",8)
(LEFT_PAREN,"(",8)
(ID,"C",8)
(RIGHT_PAREN,")",8)
(ID,"Schedule",9)
(LEFT_PAREN,"(",9)
(ID,"N",9)
(COMMA,",",9)
(ID,"C",9)
(COMMA,",",9)
(ID,"R",9)
(COMMA,",",9)
(ID,"D",9)
(COMMA,",",9)
(ID,"H",9)
(RIGHT_PAREN,")",9)
(ID,"Grades",10)
(LEFT_PAREN,"(",10)
(ID,"N",10)
(COMMA,",",10)
(ID,"C",10)
(COMMA,",",10)
(ID,"G",10)
(RIGHT_PAREN,")",10)
(ID,"Students",11)
(LEFT_PAREN,"(",11)
(ID,"C",11)
(COMMA,",",11)
(ID,"R",11)
(COMMA,",",11)
(ID,"N",11)
(COMMA,",",11)
(ID,"G",11)
(RIGHT_PAREN,")",11)
(FACTS,"Facts",13)
(COLON,":",13)
(ID,"snap",14)
(LEFT_PAREN,"(",14)
(STRING,"'12345'",14)
(COMMA,",",14)
(STRING,"'C. Brown'",14)
(COMMA,",",14)
(STRING,"'12 Apple St.'",14)
(COMMA,",",14)
(STRING,"'555-1234'",14)
(RIGHT_PAREN,")",14)
(PERIOD,".",14)
(ID,"snap",15)
(LEFT_PAREN,"(",15)
(STRING,"'67890'",15)
(COMMA,",",15)
(STRING,"'L. Van Pelt'",15)
(COMMA,",",15)
(STRING,"'34 Pear Ave.'",15)
(COMMA,",",15)
(STRING,"'555-5678'",15)
(RIGHT_PAREN,")",15)
(PERIOD,".",15)
(ID,"snap",16)
(LEFT_PAREN,"(",16)
(STRING,"'22222'",16)
(COMMA,",",16)
(STRING,"'P. Patty'",16)
(COMMA,",",16)
(STRING,"'56 Grape Blvd.'",16)
(COMMA,",",16)
(STRING,"'555-9999'",16)
